Date,Close,Open,High,Low,Volume,Change_pct
2018-12-20,30802.90,30704.98,30802.90,30506.79,,0.0032
2018-12-19,30704.98,30814.19,30884.63,30696.38,,-0.0038
2018-12-18,30822.33,30609.06,30822.33,30606.83,,0.0070
2018-12-17,30609.06,30700.50,30722.25,30553.90,,-0.0021
2018-12-14,30672.79,30568.05,30754.26,30568.05,,0.0034
2018-12-13,30568.05,30642.35,30735.20,30567.25,,-0.0024
2018-12-12,30642.35,30710.12,30771.47,30611.08,,-0.0025
2018-12-11,30718.72,30614.73,30769.61,30542.86,,0.0034
2018-12-10,30614.73,30866.82,31213.77,30614.73,,-0.0082
2018-12-07,30866.82,30819.10,30993.02,30774.51,,0.0015
2018-12-06,30819.10,31151.68,31160.36,30773.13,,-0.0107
2018-12-05,31151.68,31007.25,31180.32,30925.25,,0.0047
2018-12-04,31007.25,30798.76,31025.33,30792.47,,0.0068
2018-12-03,30798.76,30874.17,30895.40,30732.76,,-0.0024
2018-11-30,30874.17,30611.55,31014.82,30570.99,,0.0086
2018-11-29,30611.55,31023.47,31061.18,30545.20,,-0.0133
2018-11-28,31023.47,31173.71,31295.97,30993.97,,-0.0048
2018-11-27,31173.71,31533.50,31551.61,31147.49,,-0.0129
2018-11-26,31579.72,31678.70,31779.90,31562.31,,-0.0031
2018-11-23,31678.70,31984.60,31998.15,31610.43,,-0.0096
2018-11-22,31984.60,31969.79,31999.72,31934.90,,0.0005
2018-11-21,31969.79,32222.24,32357.22,31968.13,,-0.0078
2018-11-19,32222.24,32057.01,32226.73,32026.17,,0.0051
2018-11-16,32058.28,31864.80,32150.75,31854.43,,0.0061
2018-11-15,31864.80,32108.92,32117.61,31859.77,,-0.0076
2018-11-14,32108.92,32146.55,32191.60,32101.59,,-0.0014
2018-11-13,32152.90,32136.43,32402.92,32101.80,,0.0003
2018-11-12,32143.41,32202.73,32218.71,32123.14,,-0.0018
2018-11-09,32200.21,32228.50,32253.44,32126.60,,-0.0009
2018-11-08,32228.50,32108.30,32246.75,32103.41,,0.0037
2018-11-07,32108.30,32154.03,32218.20,32083.25,,-0.0014
2018-11-06,32154.03,32048.18,32212.00,31949.33,,0.0033
2018-11-05,32048.18,32130.02,32182.93,32033.91,,-0.0024
2018-11-02,32124.94,32006.65,32200.93,32006.65,,0.0037
2018-11-01,32006.65,32458.05,32477.99,32006.65,,-0.0142
2018-10-31,32466.27,33168.96,33215.73,32399.67,,-0.0212
2018-10-30,33167.88,33196.07,33577.11,32828.11,,-0.0008
2018-10-29,33196.07,32907.33,33200.37,32735.95,,0.0088
2018-10-26,32907.33,32545.06,32907.33,32326.90,,0.0111
2018-10-25,32545.06,32403.60,32570.86,32397.42,,0.0044
2018-10-24,32403.60,33191.45,33201.34,32403.60,,-0.0237
2018-10-23,33191.45,32962.82,33269.00,32962.82,,0.0069
2018-10-22,32962.82,32841.69,32986.93,32841.69,,0.0037
2018-10-19,32841.69,32664.63,32897.48,32639.31,,0.0054
2018-10-18,32664.63,32437.35,32877.32,32402.65,,0.0070
2018-10-17,32437.35,32722.18,32722.18,32418.90,,-0.0087
2018-10-16,32722.18,32413.00,32736.75,32413.00,,0.0095
2018-10-15,32413.00,32456.98,32474.42,32396.73,,-0.0014
2018-10-12,32456.98,32417.82,32456.98,32335.75,162.36,0.0012
2018-10-11,32417.82,32382.58,32443.08,32330.67,147.52,0.0011
2018-10-10,32382.58,32417.70,32466.73,32382.58,134.45,-0.0011
2018-10-09,32417.70,32444.96,32477.47,32336.24,349.53,-0.0008
2018-10-08,32444.96,32383.15,32476.28,32383.15,120.72,0.0019
2018-10-05,32383.15,32423.57,32424.98,32332.30,166.65,-0.0012
2018-10-04,32423.57,32454.03,32526.70,32395.25,151.14,-0.0009
2018-10-03,32454.03,32711.65,32728.72,32434.67,136.70,-0.0079
